feature,seuil,gauche,droite,p_NORMAL,p_DOS,p_PROBE,p_R2L,p_U2R
27,0.000000,33,34,0.154873,0.010703,0.834425,0.000000,0.000000
-1,0.000000,-1,-1,0.119934,0.011153,0.868913,0.000000,0.000000
-1,0.000000,-1,-1,0.985152,0.000000,0.014848,0.000000,0.000000
36,0.030000,36,37,0.221508,0.733054,0.007547,0.037890,0.000000
-1,0.000000,-1,-1,0.231516,0.727357,0.000000,0.041127,0.000000
-1,0.000000,-1,-1,0.104341,0.799753,0.095906,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
32,0.500000,40,47,0.060205,0.000000,0.589371,0.000000,0.350424
31,0.000000,41,44,0.038923,0.000000,0.106721,0.000000,0.854356
20,0.001957,42,43,0.013708,0.000000,0.000000,0.000000,0.986292
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.000000,1.000000
26,0.050000,45,46,0.202198,0.000000,0.797802,0.000000,0.000000
-1,0.000000,-1,-1,0.125096,0.000000,0.874904,0.000000,0.000000
-1,0.000000,-1,-1,0.248365,0.000000,0.751635,0.000000,0.000000
120,0.000000,48,51,0.075005,0.000000,0.924995,0.000000,0.000000
31,0.000000,49,50,0.000656,0.000000,0.999344,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
19,0.009785,52,53,0.247532,0.000000,0.752468,0.000000,0.000000
-1,0.000000,-1,-1,0.663802,0.000000,0.336198,0.000000,0.000000
-1,0.000000,-1,-1,0.020024,0.000000,0.979976,0.000000,0.000000
1,0.000000,55,56,0.021157,0.000000,0.978843,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
31,0.000000,57,58,0.130410,0.000000,0.869590,0.000000,0.000000
-1,0.000000,-1,-1,0.059613,0.000000,0.940387,0.000000,0.000000
34,0.000000,59,60,0.659398,0.000000,0.340602,0.000000,0.000000
-1,0.000000,-1,-1,0.732764,0.000000,0.267236,0.000000,0.000000
-1,0.000000,-1,-1,0.021177,0.000000,0.978823,0.000000,0.000000
112,0.000000,62,83,0.036262,0.025953,0.937785,0.000000,0.000000
65,0.000000,63,78,0.488796,0.349830,0.161374,0.000000,0.000000
25,0.010000,64,69,0.272248,0.511474,0.216277,0.000000,0.000000
32,0.000000,65,68,0.000000,0.014709,0.985291,0.000000,0.000000
19,0.279843,66,67,0.000000,0.027426,0.972574,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.077999,0.922001,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
85,0.000000,70,77,0.327859,0.612946,0.059194,0.000000,0.000000
40,0.000000,71,74,0.240733,0.692400,0.066868,0.000000,0.000000
28,0.239216,72,73,0.566538,0.271423,0.162039,0.000000,0.000000
-1,0.000000,-1,-1,0.210684,0.637162,0.152154,0.000000,0.000000
-1,0.000000,-1,-1,0.830625,0.000000,0.169375,0.000000,0.000000
33,0.000000,75,76,0.011823,0.988177,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
36,0.030000,79,80,0.957448,0.000000,0.042552,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
116,0.000000,81,82,0.683899,0.000000,0.316101,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
83,0.000000,85,104,0.093284,0.000038,0.002990,0.903689,0.000000
28,0.074510,86,87,0.093339,0.000038,0.002393,0.904229,0.000000
-1,0.000000,-1,-1,0.014802,0.000000,0.000000,0.985198,0.000000
22,0.000000,88,103,0.521129,0.000245,0.015430,0.463196,0.000000
30,0.510000,89,102,0.515303,0.000248,0.015618,0.468831,0.000000
33,0.020000,90,97,0.477269,0.000000,0.016852,0.505879,0.000000
26,0.000000,91,94,0.403419,0.000000,0.019955,0.576625,0.000000
35,0.000000,92,93,0.377413,0.000000,0.000000,0.622587,0.000000
-1,0.000000,-1,-1,0.526817,0.000000,0.000000,0.473183,0.000000
-1,0.000000,-1,-1,0.112870,0.000000,0.000000,0.887130,0.000000
1,0.000000,95,96,0.587332,0.000000,0.161076,0.251592,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.700102,0.000000,0.000000,0.299898,0.000000
19,0.003914,98,101,0.757985,0.000000,0.005057,0.236958,0.000000
36,0.000000,99,100,0.681999,0.000000,0.006645,0.311357,0.000000
-1,0.000000,-1,-1,0.654124,0.000000,0.000000,0.345876,0.000000
-1,0.000000,-1,-1,0.933421,0.000000,0.066579,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.996617,0.003383,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
33,0.290000,106,181,0.873519,0.000214,0.015927,0.026340,0.084001
36,0.380000,107,158,0.893339,0.000220,0.014717,0.027043,0.064682
2,0.000003,108,135,0.901551,0.000174,0.004989,0.027503,0.065783
13,0.000000,109,132,0.989097,0.000000,0.006294,0.004609,0.000000
32,0.330000,110,123,0.990604,0.000000,0.006314,0.003082,0.000000
30,0.030000,111,116,0.993594,0.000000,0.006406,0.000000,0.000000
120,0.000000,112,113,0.693525,0.000000,0.306475,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
9,0.000000,114,115,0.709635,0.000000,0.290365,0.000000,0.000000
-1,0.000000,-1,-1,0.706687,0.000000,0.293313,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,117,120,0.997405,0.000000,0.002595,0.000000,0.000000
28,0.039216,118,119,0.987301,0.000000,0.012699,0.000000,0.000000
-1,0.000000,-1,-1,0.700297,0.000000,0.299703,0.000000,0.000000
-1,0.000000,-1,-1,0.992250,0.000000,0.007750,0.000000,0.000000
30,0.510000,121,122,0.998013,0.000000,0.001987,0.000000,0.000000
-1,0.000000,-1,-1,0.969527,0.000000,0.030473,0.000000,0.000000
-1,0.000000,-1,-1,0.999676,0.000000,0.000324,0.000000,0.000000
9,0.000000,124,131,0.954224,0.000000,0.005196,0.040580,0.000000
2,0.000001,125,128,0.957541,0.000000,0.001738,0.040721,0.000000
39,0.000000,126,127,0.997943,0.000000,0.002057,0.000000,0.000000
-1,0.000000,-1,-1,0.997608,0.000000,0.002392,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
20,0.003914,129,130,0.737345,0.000000,0.000000,0.262655,0.000000
-1,0.000000,-1,-1,0.657624,0.000000,0.000000,0.342376,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
29,0.039216,133,134,0.504824,0.000000,0.000000,0.495176,0.000000
-1,0.000000,-1,-1,0.014560,0.000000,0.000000,0.985440,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
20,0.005871,136,149,0.644444,0.000684,0.001155,0.094741,0.258976
2,0.000005,137,144,0.354750,0.000887,0.002098,0.172027,0.470238
22,0.000000,138,143,0.186210,0.000000,0.000000,0.000000,0.813790
32,0.500000,139,140,0.182099,0.000000,0.000000,0.000000,0.817901
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
19,0.003914,141,142,0.017450,0.000000,0.000000,0.000000,0.982550
-1,0.000000,-1,-1,0.050584,0.000000,0.000000,0.000000,0.949416
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.000000,1.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
31,0.740000,145,146,0.585440,0.002102,0.004969,0.407489,0.000000
-1,0.000000,-1,-1,0.621281,0.002234,0.005281,0.371204,0.000000
75,0.000000,147,148,0.014560,0.000000,0.000000,0.985440,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
20,0.013699,150,157,0.999565,0.000435,0.000000,0.000000,0.000000
24,0.170000,151,152,0.998633,0.001367,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
31,0.000000,153,156,0.845103,0.154897,0.000000,0.000000,0.000000
20,0.011742,154,155,0.826807,0.173193,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.254284,0.745716,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,159,166,0.410846,0.002917,0.586236,0.000000,0.000000
29,0.458824,160,165,0.007634,0.000000,0.992366,0.000000,0.000000
90,0.000000,161,164,0.001919,0.000000,0.998081,0.000000,0.000000
32,0.330000,162,163,0.005736,0.000000,0.994264,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.147546,0.000000,0.852454,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
120,0.000000,167,172,0.849847,0.006094,0.144059,0.000000,0.000000
2,0.000009,168,171,0.282015,0.019691,0.698294,0.000000,0.000000
28,0.039216,169,170,0.688354,0.063084,0.248562,0.000000,0.000000
-1,0.000000,-1,-1,0.408368,0.119759,0.471873,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.097618,0.000000,0.902382,0.000000,0.000000
88,0.000000,173,180,0.953788,0.003604,0.042607,0.000000,0.000000
25,0.010000,174,175,0.967285,0.003684,0.029031,0.000000,0.000000
-1,0.000000,-1,-1,0.292859,0.143140,0.564001,0.000000,0.000000
0,0.000000,176,177,0.985101,0.000000,0.014899,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
37,0.000000,178,179,0.922737,0.000000,0.077263,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.609032,0.000000,0.390968,0.000000,0.000000
-1,0.000000,-1,-1,0.341781,0.000000,0.658219,0.000000,0.000000
28,0.007843,182,185,0.130982,0.000000,0.061261,0.000000,0.807757
113,0.000000,183,184,0.019650,0.000000,0.037843,0.000000,0.942508
-1,0.000000,-1,-1,0.020423,0.000000,0.000000,0.000000,0.979577
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
19,0.001957,186,193,0.798359,0.000000,0.201641,0.000000,0.000000
65,0.000000,187,192,0.769153,0.000000,0.230847,0.000000,0.000000
36,0.030000,188,189,0.765641,0.000000,0.234359,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
29,0.007843,190,191,0.041476,0.000000,0.958524,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,195,244,0.031924,0.036683,0.001495,0.661866,0.268033
1,0.000000,196,201,0.029755,0.117851,0.004802,0.309395,0.538196
117,0.000000,197,200,0.000772,0.000000,0.000000,0.000000,0.999228
10,0.000000,198,199,0.000309,0.000000,0.000000,0.000000,0.999691
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.000000,1.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
21,0.000000,202,231,0.063590,0.255427,0.010408,0.670575,0.000000
9,0.000000,203,222,0.053857,0.256590,0.005310,0.684243,0.000000
61,0.000000,204,221,0.063744,0.020055,0.007055,0.909146,0.000000
36,0.000000,205,212,0.285729,0.089893,0.031625,0.592753,0.000000
85,0.000000,206,211,0.289468,0.000000,0.029085,0.681447,0.000000
28,0.964706,207,210,0.437996,0.000000,0.044202,0.517802,0.000000
30,0.050000,208,209,0.886219,0.000000,0.113781,0.000000,0.000000
-1,0.000000,-1,-1,0.103452,0.000000,0.896548,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.253709,0.000000,0.015594,0.730697,0.000000
-1,0.000000,-1,-1,0.003680,0.000000,0.000000,0.996320,0.000000
42,0.000000,213,220,0.260744,0.690661,0.048595,0.000000,0.000000
120,0.000000,214,217,0.235006,0.714707,0.050287,0.000000,0.000000
113,0.000000,215,216,0.108562,0.891438,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.057397,0.942603,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
95,0.000000,218,219,0.746349,0.000000,0.253651,0.000000,0.000000
-1,0.000000,-1,-1,0.721933,0.000000,0.278067,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
33,0.000000,223,230,0.023778,0.976222,0.000000,0.000000,0.000000
32,0.000000,224,229,0.013515,0.986485,0.000000,0.000000,0.000000
23,0.000000,225,228,0.038449,0.961551,0.000000,0.000000,0.000000
28,0.964706,226,227,0.054013,0.945987,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.079570,0.920430,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
23,0.000000,232,241,0.541114,0.198360,0.260526,0.000000,0.000000
117,0.000000,233,240,0.803610,0.196390,0.000000,0.000000,0.000000
9,0.000000,234,239,0.853921,0.146079,0.000000,0.000000,0.000000
27,0.000000,235,238,0.931693,0.068307,0.000000,0.000000,0.000000
36,0.000000,236,237,0.864226,0.135774,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
37,0.000000,242,243,0.000000,0.202421,0.797579,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
28,0.321569,245,252,0.032905,0.000000,0.000000,0.821158,0.145937
20,0.001957,246,251,0.157106,0.000000,0.000000,0.041863,0.801031
35,0.000000,247,250,0.150803,0.000000,0.000000,0.042176,0.807021
1,0.000000,248,249,0.147083,0.000000,0.000000,0.042361,0.810556
-1,0.000000,-1,-1,0.006561,0.000000,0.000000,0.049340,0.944099
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,253,258,0.024874,0.000000,0.000000,0.871544,0.103582
32,0.000000,254,257,0.064118,0.000000,0.000000,0.088564,0.847318
29,0.003922,255,256,0.033774,0.000000,0.000000,0.091435,0.874790
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.049666,0.950334
-1,0.000000,-1,-1,0.424876,0.000000,0.000000,0.575124,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
36,0.380000,259,268,0.019409,0.000000,0.000000,0.980591,0.000000
19,0.001957,260,267,0.019007,0.000000,0.000000,0.980993,0.000000
31,0.060000,261,266,0.017728,0.000000,0.000000,0.982272,0.000000
37,0.000000,262,263,0.016418,0.000000,0.000000,0.983582,0.000000
-1,0.000000,-1,-1,0.014331,0.000000,0.000000,0.985669,0.000000
24,0.000000,264,265,0.261776,0.000000,0.000000,0.738224,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.186340,0.000000,0.000000,0.813660,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
29,0.039216,270,343,0.012285,0.002140,0.004116,0.058804,0.922654
36,0.380000,271,326,0.007670,0.001135,0.003515,0.008735,0.978945
33,0.000000,272,315,0.007268,0.000000,0.002035,0.006274,0.984423
15,0.000000,273,308,0.005191,0.000000,0.002142,0.005577,0.987090
111,0.000000,274,307,0.004842,0.000000,0.002208,0.002875,0.990075
31,0.020000,275,288,0.004822,0.000000,0.001841,0.002876,0.990461
32,0.500000,276,279,0.000673,0.000000,0.000000,0.003254,0.996074
28,0.039216,277,278,0.000805,0.000000,0.000000,0.000000,0.999195
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.000000,1.000000
-1,0.000000,-1,-1,0.003693,0.000000,0.000000,0.000000,0.996307
2,0.000005,280,285,0.000339,0.000000,0.000000,0.011476,0.988184
6,0.000000,281,284,0.000386,0.000000,0.000000,0.000000,0.999614
1,0.000000,282,283,0.000579,0.000000,0.000000,0.000000,0.999421
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.000000,1.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.000000,1.000000
2,0.000009,286,287,0.000249,0.000000,0.000000,0.033659,0.966092
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
-1,0.000000,-1,-1,0.000257,0.000000,0.000000,0.000000,0.999743
120,0.000000,289,296,0.036408,0.000000,0.015855,0.000000,0.947737
2,0.000000,290,295,0.211041,0.000000,0.788959,0.000000,0.000000
20,0.001957,291,294,0.045077,0.000000,0.954923,0.000000,0.000000
0,0.000685,292,293,0.079649,0.000000,0.920351,0.000000,0.000000
-1,0.000000,-1,-1,0.114898,0.000000,0.885102,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,297,302,0.033795,0.000000,0.004291,0.000000,0.961913
31,0.120000,298,299,0.341781,0.000000,0.658219,0.000000,0.000000
-1,0.000000,-1,-1,0.547836,0.000000,0.452164,0.000000,0.000000
25,0.280000,300,301,0.223888,0.000000,0.776112,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,303,306,0.031774,0.000000,0.000000,0.000000,0.968226
25,0.520000,304,305,0.025399,0.000000,0.000000,0.000000,0.974601
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.022456,0.000000,0.000000,0.000000,0.977544
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.054548,0.000000,0.945452,0.000000,0.000000
2,0.000009,309,312,0.016501,0.000000,0.000000,0.093070,0.890429
1,0.000000,310,311,0.003079,0.000000,0.000000,0.000000,0.996921
-1,0.000000,-1,-1,0.000772,0.000000,0.000000,0.000000,0.999228
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,313,314,0.128731,0.000000,0.000000,0.871269,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
0,0.000685,316,323,0.025956,0.000000,0.001071,0.012548,0.960424
29,0.007843,317,322,0.578933,0.000000,0.033117,0.387950,0.000000
26,0.000000,318,321,0.269741,0.000000,0.000000,0.730259,0.000000
32,0.500000,319,320,0.253635,0.000000,0.000000,0.746365,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.081432,0.000000,0.000000,0.918568,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.929351,0.000000,0.070649,0.000000,0.000000
34,0.000000,324,325,0.007472,0.000000,0.000000,0.000000,0.992528
-1,0.000000,-1,-1,0.006139,0.000000,0.000000,0.000000,0.993861
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,327,340,0.079514,0.204036,0.267981,0.448469,0.000000
23,0.000000,328,335,0.123099,0.379053,0.497848,0.000000,0.000000
31,0.740000,329,330,0.213830,0.000000,0.786170,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,331,332,0.110028,0.000000,0.889972,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
0,0.000685,333,334,0.463928,0.000000,0.536072,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.147546,0.000000,0.852454,0.000000,0.000000
20,0.001957,336,337,0.081061,0.554680,0.364259,0.000000,0.000000
-1,0.000000,-1,-1,0.127797,0.133850,0.738353,0.000000,0.000000
113,0.000000,338,339,0.035553,0.964447,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
30,0.030000,341,342,0.028702,0.000000,0.000000,0.971298,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
35,0.000000,344,349,0.087939,0.018611,0.013968,0.879483,0.000000
36,0.380000,345,346,0.669687,0.257766,0.072546,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
20,0.001957,347,348,0.000000,0.780370,0.219630,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
9,0.000000,350,361,0.042668,0.000000,0.009409,0.947923,0.000000
36,0.890000,351,358,0.019351,0.000000,0.009638,0.971010,0.000000
1,0.000000,352,357,0.769919,0.000000,0.230081,0.000000,0.000000
19,0.003914,353,354,0.617657,0.000000,0.382343,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
28,0.658824,355,356,0.103452,0.000000,0.896548,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,359,360,0.000000,0.000000,0.003955,0.996045,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
20,0.001957,363,412,0.011155,0.917456,0.054146,0.017243,0.000000
121,0.000000,364,411,0.074580,0.496571,0.384279,0.044571,0.000000
23,0.000000,365,396,0.098092,0.653123,0.190162,0.058623,0.000000
116,0.000000,366,379,0.112235,0.796006,0.019928,0.071832,0.000000
22,0.000000,367,370,0.605198,0.000000,0.000000,0.394802,0.000000
11,0.000000,368,369,0.826316,0.000000,0.000000,0.173684,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.219193,0.000000,0.000000,0.780807,0.000000
0,0.000685,371,378,0.314142,0.000000,0.000000,0.685858,0.000000
